,price,area,bath,room,parking,year,property_type,near_cc,near_school,near_parks,near_avenue,security,elevator,rest_area,pool,ranking
82,162000,90,2,2,1,1993,1,0,0,0,1,0,0,0,0,5.0
83,60270,32,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.27
84,164763,65,2,2,0,2023,1,0,0,1,0,0,1,1,0,5.0
85,240000,95,2,2,1,2021,1,1,1,0,0,1,0,0,0,4.11
86,185000,93,2,2,1,2016,1,0,0,0,0,1,0,0,0,5.0
87,220000,128,2,3,1,2010,1,1,0,0,1,0,0,0,0,4.59
88,78297,65,2,3,0,2023,1,0,0,0,0,0,0,0,0,3.21
89,219000,181,2,3,1,1983,1,0,0,0,1,1,0,0,0,4.59
90,139000,85,1,2,0,1990,1,1,1,1,1,1,0,0,0,4.59
91,160000,227,2,3,1,2017,1,0,0,0,0,0,0,0,0,3.21
92,215000,129,3,4,0,2023,1,1,1,1,1,1,1,1,0,4.49
93,229000,109,2,2,0,2023,1,1,1,0,0,0,1,0,0,5.0
94,179000,79,2,3,0,2020,1,1,1,0,0,1,0,1,1,5.0
95,125653,59,2,2,0,2023,1,0,0,1,0,0,0,0,0,4.27
96,235000,141,3,4,0,2023,1,1,1,1,1,1,1,1,0,4.49
97,158748,74,2,3,0,2023,1,0,0,0,0,1,0,1,0,4.27
98,142000,85,2,3,0,2009,1,1,1,1,0,0,1,1,1,4.49
99,120270,45,2,3,1,2023,1,1,1,1,0,0,1,1,0,5.0
100,90000,103,2,3,0,2007,1,1,1,1,0,0,0,0,0,2.71
101,106650,79,2,3,0,2023,1,1,1,0,0,1,0,1,1,4.59
102,95540,54,2,2,0,2023,1,1,1,1,0,0,1,1,1,3.21
103,62000,75,1,2,0,1978,1,0,0,0,0,0,0,0,0,2.8
104,127987,98,2,2,0,2023,1,1,1,0,1,1,1,0,0,4.59
105,160513,83,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.59
106,118000,58,2,3,0,2023,1,1,1,0,0,0,1,0,0,4.59
107,182000,87,2,3,0,2023,1,1,1,0,0,0,1,0,0,4.59
108,225000,135,2,4,0,2023,1,1,1,1,1,1,1,1,0,4.49
109,170000,104,3,3,0,2023,1,1,0,0,0,1,0,1,0,4.59
110,133728,75,2,3,0,2023,1,0,0,0,0,0,0,0,0,5.0
111,66216,90,2,3,0,2023,1,1,1,0,0,0,1,0,0,3.21
112,93162,47,2,2,0,2023,1,0,0,0,0,0,0,0,0,4.59
113,192000,92,2,3,0,2023,1,1,1,0,0,0,1,0,0,4.59
114,122893,66,2,3,0,2023,1,0,0,0,0,0,0,0,0,5.0
115,63513,85,2,3,0,2023,1,1,1,0,0,0,1,0,0,2.8
116,138000,66,2,2,0,2023,1,1,1,0,0,0,1,0,0,4.59
117,138290,81,2,3,0,2023,1,0,0,0,0,0,0,0,0,5.0
118,63513,86,2,3,0,2023,1,1,1,0,0,0,1,0,0,2.8
119,130550,74,2,3,0,2023,1,1,1,0,0,0,1,1,0,3.27
120,153949,40,2,3,0,2023,1,1,0,0,0,0,1,1,1,4.11
121,123270,77,2,3,0,2023,1,0,0,1,0,0,0,0,0,5.0
122,95945,47,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.59
123,245000,113,2,3,1,2023,1,0,0,0,0,0,0,1,0,4.95
124,127993,60,2,2,0,2023,1,1,0,1,1,0,0,0,0,5.0
125,98594,52,2,2,0,2023,1,0,0,1,0,0,0,0,0,5.0
126,229000,109,2,2,0,2023,1,1,1,0,0,0,1,0,0,5.0
127,70540,64,2,3,0,2023,1,0,0,0,0,0,0,0,0,3.21
128,207000,99,3,3,0,2023,1,1,1,0,0,0,1,0,0,4.59
129,111487,60,2,3,0,2023,1,0,0,0,0,0,0,0,0,5.0
130,142345,67,2,3,0,2023,1,1,0,1,1,0,0,0,0,5.0
131,47297,53,2,2,0,2023,1,1,1,0,0,0,1,0,0,2.36
132,126635,69,2,3,0,2023,1,1,1,0,0,0,1,1,0,3.27
133,122000,74,2,3,0,2023,1,0,0,1,0,0,0,0,0,5.0
134,247143,125,2,3,1,2023,1,1,1,1,0,0,0,0,0,4.59
135,79900,84,2,2,0,2015,1,1,0,0,0,0,0,1,0,3.21
136,105200,59,2,2,0,2023,1,1,1,0,0,0,1,1,0,3.27
137,125054,87,2,3,0,2023,1,0,0,1,0,0,0,0,0,5.0
138,128486,70,2,3,0,2023,1,0,0,0,0,0,0,1,0,4.4
139,180941,87,2,2,1,2023,1,0,0,0,0,1,1,1,0,4.59
140,230447,119,2,3,1,2023,1,1,1,1,0,0,0,0,0,4.59
141,95950,41,2,3,0,2023,1,1,0,1,1,0,0,0,0,5.0
142,66717,32,2,3,0,2023,1,1,1,0,0,0,1,1,0,3.27
143,208000,151,4,4,1,2023,1,0,1,0,0,1,1,1,0,4.59
144,107779,57,2,2,0,2023,1,0,0,0,0,0,0,1,0,4.4
145,213112,110,3,3,1,2023,1,0,0,1,0,0,0,0,0,4.59
146,136030,71,2,3,0,2023,1,0,0,0,0,0,0,1,0,4.4
147,219741,128,2,2,1,2023,1,0,0,1,0,0,0,0,0,4.59
148,155000,100,2,3,1,1998,1,1,1,1,1,0,0,0,0,4.59
149,199000,223,2,3,1,2009,1,0,0,0,0,0,0,1,0,4.59
150,200000,147,3,3,1,1995,1,0,0,0,0,0,0,1,0,4.59
151,70031,33,2,3,0,2023,1,1,1,0,0,0,1,1,0,3.27
152,206024,109,2,3,1,2023,1,1,1,1,0,0,0,0,0,4.59
153,122000,77,2,3,0,2023,1,0,0,0,0,0,0,0,0,4.59
154,105193,47,2,3,0,2023,1,1,0,1,1,0,0,0,0,5.0
155,82378,40,2,3,0,2023,1,0,0,0,0,0,0,1,0,4.4
156,212974,120,2,3,1,2023,1,0,0,1,0,0,0,0,0,4.59
157,118351,58,2,2,0,2023,1,0,0,0,0,0,0,0,0,4.59
158,172567,113,2,2,0,2023,1,0,0,0,0,0,0,0,0,4.59
159,204844,64,2,2,0,2023,1,0,0,0,0,0,0,0,0,4.11
160,134943,73,2,3,0,2023,1,0,0,0,0,0,0,1,0,4.4
161,110467,58,2,2,0,2023,1,0,0,0,0,0,0,1,0,4.4
162,216657,122,3,3,1,2023,1,0,0,1,0,0,0,0,0,5.0
163,237000,152,3,4,1,2009,1,0,0,1,0,0,1,1,0,4.59
164,114430,65,2,2,0,2023,1,0,0,1,0,0,0,0,0,4.59
165,147875,84,2,3,0,2023,1,1,1,1,0,1,1,1,0,4.49
166,186000,90,2,2,1,2023,1,1,1,1,0,1,1,1,0,4.95
167,165000,65,2,2,1,2013,1,1,0,0,0,0,0,0,0,4.11
168,221959,104,2,3,1,2023,1,0,0,0,0,0,0,0,0,4.59
169,90698,48,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.59
170,54000,64,2,3,0,2023,1,0,0,0,0,0,0,0,0,2.8
171,61684,20,2,3,0,2023,1,0,0,1,0,0,0,0,0,4.27
172,197297,88,2,2,0,2023,1,1,0,1,0,0,0,0,0,4.27
173,205000,82,2,2,0,2007,1,1,1,0,0,1,1,0,0,5.0
174,155337,80,2,3,0,2023,1,0,0,1,0,0,0,0,0,5.0
175,229567,126,3,3,1,2023,1,0,0,1,0,0,0,0,0,5.0
176,165009,85,2,2,1,2023,1,0,0,1,0,0,0,0,0,5.0
177,150716,77,2,3,0,2023,1,0,0,1,0,0,0,0,0,5.0
178,196635,119,3,3,1,2023,1,0,0,1,0,0,0,0,0,5.0
179,91621,52,2,2,0,2023,1,0,0,1,0,0,0,0,0,5.0
180,196810,62,2,2,0,2023,1,0,0,0,0,0,0,0,0,4.11
181,160800,80,2,2,1,2023,1,0,0,1,0,0,0,0,0,5.0
182,120675,66,2,2,0,2023,1,0,0,1,0,0,0,0,0,5.0
183,135000,92,2,3,0,1999,1,0,0,0,0,0,0,0,0,4.59
184,106486,57,2,2,0,2023,1,0,0,1,0,0,0,0,0,4.59
185,20000,92,2,3,0,2005,1,0,0,1,1,0,0,0,0,2.71
186,230000,241,2,3,1,2003,1,1,0,0,0,0,0,0,0,4.59
187,118159,66,2,2,0,2023,1,0,0,1,0,0,0,0,0,5.0
188,164786,78,2,3,0,2023,1,1,1,1,1,0,0,0,0,4.59
